sample,age,estimate,group,n,coef,se,df,boot_se
1972,39,RRC,IGE/RRC,2603,0.255139021547391,0.0189591614274497,2601,0.0196122138505138
1972,39,TM,Bot->Bot,2603,0.278846153846154,,,0.0183331569032559
1972,39,TM,Bot->Top,2603,0.111538461538462,,,0.0142822640529521
1972,39,TM,Top->Bot,2603,0.117082533589251,,,0.0140253231286517
1972,39,TM,Top->Top,2603,0.387715930902111,,,0.0190232342545835
1972,40,IGE,IGE/RRC,2603,0.247708828017302,0.0262381071686534,2601,0.0320310125161787
1972,40,RRC,IGE/RRC,2603,0.25219445297156,0.0189735170085275,2601,0.0198037641810477
1972,40,TM,Bot->Bot,2603,0.267307692307692,,,0.0184029709847844
1972,40,TM,Bot->Top,2603,0.109615384615385,,,0.0138116414081893
1972,40,TM,Top->Bot,2603,0.117082533589251,,,0.0136135353502721
1972,40,TM,Top->Top,2603,0.393474088291747,,,0.018332596614607
1972,41,IGE,IGE/RRC,2603,0.263693373930891,0.0263576847968752,2601,0.0325880249035553
1972,41,RRC,IGE/RRC,2603,0.262680107378463,0.0189192920709099,2601,0.0193116309980253
1972,41,TM,Bot->Bot,2603,0.273076923076923,,,0.0178605761049588
1972,41,TM,Bot->Top,2603,0.113461538461538,,,0.0137782362067882
1972,41,TM,Top->Bot,2603,0.120921305182342,,,0.0141807723140804
1972,41,TM,Top->Top,2603,0.385796545105566,,,0.0183646082444024
1972,42,IGE,IGE/RRC,2603,0.315043714156043,0.0263971300999997,2601,0.029338309383896
1972,42,RRC,IGE/RRC,2603,0.272679887912137,0.0188644234237116,2601,0.0191414563360849
1972,42,TM,Bot->Bot,2603,0.290384615384615,,,0.0185289885519436
1972,42,TM,Bot->Top,2603,0.123076923076923,,,0.0141745466144675
1972,42,TM,Top->Bot,2603,0.119001919385797,,,0.0139022413084994
1972,42,TM,Top->Top,2603,0.383877159309021,,,0.0183976849526712
1972,43,IGE,IGE/RRC,2603,0.295619001781808,0.0290532154052301,2601,0.0318947197983944
1972,43,RRC,IGE/RRC,2603,0.272416721873156,0.0188658014013757,2601,0.0192500327121897
1972,43,TM,Bot->Bot,2603,0.288461538461538,,,0.0179838004339452
1972,43,TM,Bot->Top,2603,0.117307692307692,,,0.0138720194220858
1972,43,TM,Top->Bot,2603,0.117082533589251,,,0.0135459267370463
1972,43,TM,Top->Top,2603,0.380038387715931,,,0.018324042743725
1974,25,IGE,IGE/RRC,2743,0.0475960288194097,0.0394855678199383,2741,0.0400096695745728
1974,25,RRC,IGE/RRC,2743,0.0945680460464962,0.0190153830935622,2741,0.0197839984294539
1974,25,TM,Bot->Bot,2743,0.198905109489051,,,0.0163345339989283
1974,25,TM,Bot->Top,2743,0.118613138686131,,,0.0132386770429448
1974,25,TM,Top->Bot,2743,0.238615664845173,,,0.0167647417386354
1974,25,TM,Top->Top,2743,0.306010928961749,,,0.017130798191381
1974,26,IGE,IGE/RRC,2743,0.208571825844598,0.0304595570625214,2741,0.0382537045799005
1974,26,RRC,IGE/RRC,2743,0.198255257691861,0.018721504467471,2741,0.0200542931898713
1974,26,TM,Bot->Bot,2743,0.251824817518248,,,0.017542374281421
1974,26,TM,Bot->Top,2743,0.113138686131387,,,0.0131697671133425
1974,26,TM,Top->Bot,2743,0.183970856102004,,,0.0156988987664304
1974,26,TM,Top->Top,2743,0.34608378870674,,,0.0172415616210675
1974,27,IGE,IGE/RRC,2743,0.255086392069278,0.0281594465753292,2741,0.0366048386368598
1974,27,RRC,IGE/RRC,2743,0.235941576285713,0.0185617270231415,2741,0.0192060057018876
1974,27,TM,Bot->Bot,2743,0.262773722627737,,,0.0180113499353421
1974,27,TM,Bot->Top,2743,0.0967153284671533,,,0.0122970869186837
1974,27,TM,Top->Bot,2743,0.174863387978142,,,0.0153669844868264
1974,27,TM,Top->Top,2743,0.382513661202186,,,0.0180284699613612
1974,28,IGE,IGE/RRC,2743,0.289994806139651,0.0282879592835602,2741,0.0307929538905946
1974,28,RRC,IGE/RRC,2743,0.266688871825315,0.0184085452132073,2741,0.0185003114221207
