n,parents_age,child_age,coef,se,df
12082,43,30,0.446469079517437,0.0189739009413874,12079
12082,45,30,0.461098656406023,0.0194262681194058,12079
12082,56,30,0.469138155927524,0.0201188444126115,12079
12082,57,30,0.455275569858311,0.0199610979187621,12079
12083,40,30,0.447407726613752,0.0192210659839264,12080
12083,42,30,0.454924518270843,0.0191868455541783,12080
12083,44,30,0.453204698627972,0.0194747088459909,12080
12083,46,30,0.463136267720202,0.0193985518707296,12080
12083,47,30,0.449129859926251,0.0190296429805483,12080
12083,48,30,0.449969939967984,0.0192715132740761,12080
12083,50,30,0.45893568758354,0.0194011998828469,12080
12083,52,30,0.465692499600215,0.0195705200850654,12080
12083,53,30,0.444134595058311,0.0191049814100204,12080
12083,54,30,0.458477191457579,0.0197606903308574,12080
12083,55,30,0.451933230789733,0.0193444529697392,12080
12680,25,43,0.255381276764678,0.0259506906574956,12677
12731,27,43,0.350213896505747,0.0253109363419044,12728
12734,26,43,0.30143117512014,0.0254391328118118,12731
12875,30,43,0.411338586283006,0.0233022580019879,12872
12880,28,43,0.392835644112495,0.0240812943805683,12877
12903,31,43,0.450459759881631,0.0222286147847763,12900
12927,32,43,0.4045322090156,0.0207230615445494,12924
12933,33,43,0.466220969358232,0.0211419229171362,12930
12941,29,43,0.431850018586309,0.0237538729897861,12938
12956,34,43,0.429193662687839,0.0200455247267117,12953
12975,59,43,0.435352957030845,0.0188185854348325,12972
12983,60,43,0.414932229053205,0.0186942503827795,12980
12999,35,43,0.42078802565641,0.0188172087072996,12996
12999,36,43,0.441476001153812,0.0194491166365165,12996
13000,38,43,0.477685483534284,0.019890477761429,12997
13001,53,43,0.46934626771796,0.0188618487146353,12998
13005,49,43,0.44587019060307,0.018038638250532,13002
13010,58,43,0.444123760416339,0.0189418508888017,13007
13014,56,43,0.488976854333147,0.0200761894633947,13011
13014,57,43,0.443717187545273,0.0192218794615159,13011
13015,37,43,0.477936069145619,0.0201822891929557,13012
13015,39,43,0.446957210610819,0.0187641581515475,13012
13015,41,43,0.436903226985175,0.0180684354950736,13012
13015,43,43,0.462750584806458,0.0187478120653242,13012
13015,45,43,0.486360456543812,0.0191424791564717,13012
13017,40,43,0.457255760173655,0.0188733202613743,13014
13017,42,43,0.466043967670552,0.0190168282558878,13014
13017,46,43,0.487895748234796,0.0193607466889282,13014
13017,51,43,0.44561207522685,0.0183862926488361,13014
13017,52,43,0.494828862543303,0.0196153379645056,13014
13017,54,43,0.481561162975289,0.0194069846995347,13014
13017,55,43,0.483556782427984,0.0192095315748677,13014
13021,48,43,0.478118655476668,0.0195041138923897,13018
13022,44,43,0.463970039488938,0.019301652392638,13019
13022,47,43,0.463633759179237,0.0188663726449238,13019
13022,50,43,0.474570324611298,0.0193578263459748,13019
18142,25,31,0.281962989525782,0.0208547192827625,18138
18148,27,31,0.38405297488677,0.0203025694695839,18144
18150,26,31,0.365878150072548,0.020564352813621,18146
18186,30,31,0.437622186988146,0.0190147623015451,18182
18193,31,31,0.456077266935978,0.0178789399634837,18189
18195,32,31,0.4207855353887,0.0170407504012473,18191
18198,28,31,0.4114402998658,0.0191876721465343,18194
18203,49,31,0.444873153924365,0.0150597667975406,18199
18206,33,31,0.475968158684055,0.01709807554601,18202
18207,29,31,0.437105409001448,0.0185985998965296,18203
18209,34,31,0.468298442867183,0.0170059833264896,18205
18215,51,31,0.458486403427645,0.0156732728874828,18211
18215,58,31,0.428060674462445,0.0155485653671388,18211
18217,59,31,0.426094193899805,0.0156298595499464,18213
18217,60,31,0.409468953707952,0.0154443580747196,18213
18218,36,31,0.467101582055074,0.016431984967354,18214
18219,35,31,0.437542471202142,0.0156261122206083,18215
18220,38,31,0.48707399632867,0.0164827941583019,18216
18221,37,31,0.486796078675897,0.0164092178195426,18217
18221,39,31,0.461226802875474,0.0159242992049927,18217
18221,41,31,0.446276597659898,0.0151711516475279,18217
18221,43,31,0.457525217554621,0.0156737414467367,18217
18221,44,31,0.470358302618157,0.0160812089450037,18217
18221,45,31,0.473760491917051,0.0160368316007907,18217
18221,47,31,0.4623148880082,0.015714435249211,18217
18221,48,31,0.464573886548229,0.0159140253157511,18217
18221,50,31,0.471689822238262,0.0159962195638234,18217
18221,53,31,0.458162724173523,0.0157818775350362,18217
18221,56,31,0.481004224295089,0.0166045734867588,18217
18221,57,31,0.466678371813804,0.0164378145783264,18217
18223,40,31,0.460329388550881,0.0158878275822571,18219
18223,42,31,0.468245594203152,0.0158500499991855,18219
18223,46,31,0.473840272550888,0.0159565913245031,18219
18223,52,31,0.479624783775469,0.0161381048509549,18219
18223,54,31,0.473667217124825,0.016322594590089,18219
18223,55,31,0.466120211167924,0.0159493225247945,18219
18925,25,42,0.244678837810741,0.0208140914333233,18921
18991,27,42,0.353456065166704,0.020254950821191,18987
18994,26,42,0.302831882293095,0.0203990259099693,18990
19206,30,42,0.42532174824203,0.0187788043723891,19202
19213,28,42,0.407648492727859,0.0193187337163463,19209
19242,31,42,0.466236709570097,0.0177932678794092,19238
19273,32,42,0.415951737700073,0.0166385629904292,19269
19282,33,42,0.486322131142129,0.016919211150697,19278
19291,29,42,0.444548018816357,0.018991459396227,19287
19311,34,42,0.44939681084341,0.0161444770423443,19307
19333,59,42,0.457798521095562,0.0151544502650472,19329
19346,60,42,0.436612403815252,0.0150338793182209,19342
19366,38,42,0.501668109391932,0.0160090441421225,19362
19367,35,42,0.442361308226583,0.015099243193617,19363
19367,36,42,0.462507129904124,0.0156680693772247,19363
