instru,n,child_rank,family_rank,coef,se,boot_se
+ 2digit occ.,647,44.1839258114374,31,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,647,52.9860896445131,58,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,647,54.6785162287481,71,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,647,63.4652241112829,87,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,648,37.1635802469136,8,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,648,44.6543209876543,30,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,648,46.2453703703704,41,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,648,47.1990740740741,47,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,648,50.5679012345679,63,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,648,56.054012345679,75,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,648,61.7885802469136,89,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,649,62.8952234206472,92,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,650,42.3,19,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,650,42.16,20,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,650,46.2230769230769,28,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,650,52.8369230769231,65,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,650,59.5338461538462,84,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,650,61.54,90,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,651,51.915514592934,59,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,651,60.2596006144393,80,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,652,50.2377300613497,56,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,652,69.1303680981595,97,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,653,47.9816232771822,43,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,653,60.3261868300153,86,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,654,50.2339449541285,55,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,654,70.4189602446483,100,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,656,35.594512195122,11,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,656,42.3887195121951,17,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,656,46.5259146341463,34,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,656,50.3246951219512,53,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,656,53.6676829268293,69,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,657,50.5646879756469,52,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,658,50.9392097264438,61,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,658,58.2598784194529,82,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,659,38.9848254931715,12,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,659,67.6342943854325,95,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,662,46.9939577039275,35,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,665,35.196992481203,3,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,666,48.5315315315315,45,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,671,31.7391952309985,1,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,672,42.2306547619048,16,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,675,39.3837037037037,7,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,676,43.8372781065089,32,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,676,46.189349112426,38,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,681,44.5712187958884,25,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,686,37.3367346938776,6,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,698,43.865329512894,23,0.295557237699431,0.00376043509068456,0.00408004181248033
+ 2digit occ.,897,36.7714604236343,10,0.295557237699431,0.00376043509068456,0.00408004181248033
+ demographic char.,640,58.4625,81,0.296917119576329,0.00375818583014191,0.00419242778019313
