n,dep,rank_dep,family_log_income_n,household_log_income
33,6,18,9.4479984528485,10.4323790909712
33,34,24,9.44539694611841,10.0030503523065
33,42,25,9.60254911314084,10.6559958015111
33,34,24,9.65424324525911,10.5983328292079
33,63,32,9.70182489055577,10.6481475642708
33,68,29,9.97795772179875,10.9589250206703
33,83,22,9.99254727970328,10.599862676883
34,83,22,9.22811744662965,10.1443729258781
34,6,18,9.28739720555617,10.3111039215753
34,92,6,9.55214559081082,10.4452620425074
34,83,22,9.65524194891266,10.4915843662959
34,14,31,9.83110455685963,10.5769374556922
34,42,25,10.245931672726,10.7720277937926
35,56,30,9.23344838055118,10.3325066599398
35,54,27,9.22964892769069,10.2351188601192
35,31,20,9.28947894745899,10.2760525542717
35,68,29,9.40346204899966,10.400972762906
35,31,20,9.45055961396797,10.5619846945882
35,6,18,9.60498610088102,10.4424719358513
35,92,6,9.65273457675588,10.7050368535041
35,54,27,9.75390383848794,10.7206528454679
35,63,32,10.0913410240261,10.8326867435922
35,93,7,10.4680622069521,11.1903319522314
35,6,18,9.83059936835917,10.5167489774676
36,31,20,8.67553421828633,10.0132093397063
36,92,6,9.15447581917316,10.6070551801531
36,83,22,9.44862377659347,10.5019921842497
36,54,27,9.49737742514626,10.4794833940959
36,56,30,9.6445164138059,10.6343465287055
36,68,29,9.64466241814494,10.6097868544691
36,14,31,9.75119694467998,10.297804656334
36,49,28,9.90106295852455,10.6614850707952
36,68,29,9.89822024223603,10.9517891690526
36,14,31,9.97788463054828,10.698446845126
37,31,20,9.34286848842256,10.4815418026707
37,14,31,9.45548514342309,10.2623527923314
37,63,32,9.55959954369263,10.5208785563123
37,83,22,9.552846133036,10.4455079022334
37,75,2,9.60307273037014,10.3957389331394
37,14,31,9.70559490826429,10.5777147130578
38,14,31,8.60177954391003,10.3200184294519
38,49,28,9.06953413585038,9.73579485996841
38,56,30,9.29158963945866,10.393203712541
38,68,29,9.34115286023724,10.4532848575259
38,34,24,9.50189593260496,10.4249695656719
38,6,18,9.76301239375976,10.31444833211
38,56,30,9.98825135815987,10.5807971497279
39,54,27,8.6730934821704,9.91076262597736
39,91,12,9.06589042731487,10.4633365621142
39,34,24,9.2280192469591,10.3136274351544
39,83,22,9.34497921362169,10.4073730026396
39,14,31,9.33557456190683,10.4076951198866
39,92,6,9.44648861569152,10.5417511884857
39,75,2,9.56750498797749,10.7639753684075
39,83,22,9.5932908367413,10.3822287108872
39,75,2,9.65485927943213,10.7865194865775
39,68,29,9.81620971429421,10.6170926379231
39,34,24,9.81957979368027,10.5095968240667
39,6,18,9.98910348734245,10.6401206467823
39,67,19,10.0820233580137,10.7180562049592
39,62,5,10.4372019087699,11.037884279552
40,35,23,8.62112887188428,10.297021166001
40,6,18,9.05617515675434,10.1769544375605
40,29,21,9.16339996324914,10.3911702220222
40,14,31,9.23540448626276,10.3539447201601
40,14,31,9.29701482231432,10.4046812179625
40,91,12,9.28689331788094,10.3969433288913
40,95,15,9.28553833693517,10.4652194439789
40,92,6,9.28573788485313,10.6570619018789
40,42,25,9.39257953341367,10.5073874479513
40,29,21,9.40169671499877,10.3858384307573
40,31,20,9.49554320863353,10.4284469086268
40,68,29,9.55205541266842,10.6018106021636
40,56,30,9.9066267562723,10.7299134308137
40,49,28,10.2319615180853,10.7718319201972
41,54,27,9.05699780155566,10.0640842669223
41,31,20,9.15536883668513,10.2383385493283
41,95,15,9.21918410022453,10.2355123201654
41,54,27,9.39902649820512,10.0993854587938
41,54,27,9.45110727706681,10.6446862850356
41,60,26,9.56323604049863,10.5788432339473
41,68,29,9.70181709327461,10.6998350515559
41,6,18,9.6952309835261,10.4560181690397
41,68,29,9.7551966395627,10.6571285412985
41,83,22,9.90426439124323,10.5966271303707
41,68,29,10.0825164797728,10.8391098384393
41,14,31,10.0871134903976,11.1174946974857
41,54,27,10.0826622293127,10.7361154418787
41,54,27,10.241170363716,10.9628120275271
42,75,2,9.17782703932938,10.3289521894292
42,91,12,9.16976243515003,9.87377310125306
