sample,age,estimate,group,n,coef,se,df,boot_se
All Employee Panel,40,TM,Top->Bot,21146,0.13755613330182,,,0.00507286141972436
All Employee Panel,40,TM,Top->Top,21146,0.385724415031907,,,0.00649473275443728
All Employee Panel,41,IGE,IGE/RRC,16501,0.424326432617541,0.0166360625573234,16497,0.019479102561885
All Employee Panel,41,RRC,IGE/RRC,16501,0.271597981318841,0.00749292366469652,16497,0.00759755954422188
All Employee Panel,41,TM,Bot->Bot,16501,0.27107337780473,,,0.00689061252965321
All Employee Panel,41,TM,Bot->Top,16501,0.100970285021225,,,0.00539575889796617
All Employee Panel,41,TM,Top->Bot,16501,0.131172372008482,,,0.00586639746682119
All Employee Panel,41,TM,Top->Top,16501,0.380490760375644,,,0.00724934788263618
All Employee Panel,42,IGE,IGE/RRC,10988,0.390874320051418,0.0201357994689202,10985,0.0232385640262387
All Employee Panel,42,RRC,IGE/RRC,10988,0.25812144809119,0.00921771622151043,10985,0.00951274768768767
All Employee Panel,42,TM,Bot->Bot,10988,0.272189349112426,,,0.00879634052262514
All Employee Panel,42,TM,Bot->Top,10988,0.110605370960401,,,0.00685158946612875
All Employee Panel,42,TM,Top->Bot,10988,0.139154160982265,,,0.00694268279334228
All Employee Panel,42,TM,Top->Top,10988,0.378808549340609,,,0.00911393144610192
All Employee Panel,43,IGE,IGE/RRC,5614,0.398321824510935,0.0269409840691883,5612,0.0300290782409268
All Employee Panel,43,RRC,IGE/RRC,5615,0.265103309161491,0.0128700434470416,5613,0.0132187168579047
All Employee Panel,43,TM,Bot->Bot,5615,0.280498664292075,,,0.0121999647938902
All Employee Panel,43,TM,Bot->Top,5615,0.111308993766696,,,0.00949673144883462
All Employee Panel,43,TM,Top->Bot,5615,0.133570792520036,,,0.00954303017997566
All Employee Panel,43,TM,Top->Top,5615,0.369545859305432,,,0.0123133433214629
Tax data,29,IGE,IGE/RRC,5838,0.408162317574859,0.0280919517540828,5836,0.0345043161702625
Tax data,29,RRC,IGE/RRC,5842,0.213409985163238,0.0127842240507339,5840,0.0132976511614022
Tax data,29,TM,Bot->Bot,5842,0.284246575342466,,,0.0123463129152482
Tax data,29,TM,Bot->Top,5842,0.116438356164384,,,0.00938902719757066
Tax data,29,TM,Top->Bot,5842,0.128314798973482,,,0.00956952954197967
Tax data,29,TM,Top->Top,5842,0.322497861420017,,,0.0120805983668758
Tax data,30,IGE,IGE/RRC,12082,0.47823542554297,0.0198079676216945,12079,0.0244462204251334
Tax data,30,RRC,IGE/RRC,12091,0.245103875919966,0.00881799504097653,12088,0.00915181628661105
Tax data,30,TM,Bot->Bot,12091,0.300372362432768,,,0.00882921623453653
Tax data,30,TM,Bot->Top,12091,0.113363673976003,,,0.00648671376610388
Tax data,30,TM,Top->Bot,12091,0.115336916081025,,,0.00636066096068919
Tax data,30,TM,Top->Top,12091,0.355518809425382,,,0.00883464929513689
Tax data,31,IGE,IGE/RRC,18221,0.492896842059567,0.0163614826687204,18217,0.0198424606790381
Tax data,31,RRC,IGE/RRC,18246,0.26310526387991,0.00714300863653519,18242,0.0076594451595232
Tax data,31,TM,Bot->Bot,18246,0.304741024938339,,,0.00732721276735491
Tax data,31,TM,Bot->Top,18246,0.114277884351877,,,0.00547269435703448
Tax data,31,TM,Top->Bot,18246,0.121369863013699,,,0.00537355117950723
Tax data,31,TM,Top->Top,18246,0.355068493150685,,,0.00682600862625582
Tax data,32,IGE,IGE/RRC,24099,0.504719401046964,0.0141622213822325,24094,0.0168628961711096
Tax data,32,RRC,IGE/RRC,24129,0.2634542156486,0.00621090846275545,24124,0.00647953358053894
Tax data,32,TM,Bot->Bot,24129,0.30410447761194,,,0.00628977946622053
Tax data,32,TM,Bot->Top,24129,0.110074626865672,,,0.00456345743310441
Tax data,32,TM,Top->Bot,24129,0.12119328775637,,,0.00461063097504816
Tax data,32,TM,Top->Top,24129,0.354671638698985,,,0.00617941826022074
Tax data,33,IGE,IGE/RRC,30148,0.529910041825008,0.0128560351808084,30142,0.0160844836894129
Tax data,33,RRC,IGE/RRC,30189,0.272688315549486,0.0055377536385982,30183,0.0057205702954821
Tax data,33,TM,Bot->Bot,30189,0.308533554266777,,,0.00553078962653437
Tax data,33,TM,Bot->Top,30189,0.101739850869925,,,0.00399509930949964
Tax data,33,TM,Top->Bot,30189,0.119867549668874,,,0.00416483840214304
Tax data,33,TM,Top->Top,30189,0.364403973509934,,,0.00547335846376352
Tax data,34,IGE,IGE/RRC,36066,0.520859265883886,0.0117031070889333,36059,0.0150451609475535
Tax data,34,RRC,IGE/RRC,36103,0.279690147478242,0.00505333074795325,36096,0.00538509845023706
Tax data,34,TM,Bot->Bot,36103,0.308949847603214,,,0.0050131971472086
Tax data,34,TM,Bot->Top,36103,0.103214186755334,,,0.00380117158799954
Tax data,34,TM,Top->Bot,36103,0.115464488439707,,,0.00382102381427751
Tax data,34,TM,Top->Top,36103,0.37145230513637,,,0.00509939082320131
Tax data,35,IGE,IGE/RRC,42055,0.557141728906321,0.0110412024510519,42047,0.0143755204933943
Tax data,35,RRC,IGE/RRC,42102,0.289477336732587,0.00466531290126661,42094,0.00497623742726099
Tax data,35,TM,Bot->Bot,42102,0.312225258405608,,,0.00477912111188335
Tax data,35,TM,Bot->Top,42102,0.101698942616134,,,0.00354609559371153
Tax data,35,TM,Top->Bot,42102,0.107337924483496,,,0.00344602366568782
Tax data,35,TM,Top->Top,42102,0.375326525765851,,,0.00479188204596494
Tax data,36,IGE,IGE/RRC,42150,0.546655582181451,0.0107780650346065,42142,0.014940436951389
Tax data,36,RRC,IGE/RRC,42210,0.28977078339775,0.0046589291202523,42202,0.00494337773612532
Tax data,36,TM,Bot->Bot,42210,0.307856381087807,,,0.00489710098384114
Tax data,36,TM,Bot->Top,42210,0.101433819172888,,,0.00380298007969153
Tax data,36,TM,Top->Bot,42210,0.109189957366177,,,0.00342460911780226
Tax data,36,TM,Top->Top,42210,0.377664613927049,,,0.0047489123104665
Tax data,37,IGE,IGE/RRC,42034,0.537215850071638,0.0107208964210646,42026,0.0149063426778453
Tax data,37,RRC,IGE/RRC,42094,0.291534893921947,0.00466273204649436,42086,0.00509563422336721
Tax data,37,TM,Bot->Bot,42094,0.312381178707224,,,0.0048208570095736
Tax data,37,TM,Bot->Top,42094,0.097671102661597,,,0.00380421936361367
Tax data,37,TM,Top->Bot,42094,0.108512406505995,,,0.00333893658509798
Tax data,37,TM,Top->Top,42094,0.378487474771459,,,0.00484169946155353
Tax data,38,IGE,IGE/RRC,42355,0.518004919688107,0.010608014560652,42347,0.014583790828096
Tax data,38,RRC,IGE/RRC,42412,0.287101142404223,0.00465171478573344,42404,0.00505469918684755
Tax data,38,TM,Bot->Bot,42412,0.305342611156976,,,0.00501809729898083
Tax data,38,TM,Bot->Top,42412,0.0985965326099776,,,0.00378171468621767
Tax data,38,TM,Top->Bot,42412,0.111726576311137,,,0.00338148870935073
Tax data,38,TM,Top->Top,42412,0.378432527990572,,,0.00454302187560809
Tax data,39,IGE,IGE/RRC,36552,0.525393051007628,0.0115466951194461,36545,0.0153658487824011
Tax data,39,RRC,IGE/RRC,36596,0.289813966868113,0.00500347031863347,36589,0.00525660559064792
Tax data,39,TM,Bot->Bot,36596,0.310278840896665,,,0.00522144967464899
Tax data,39,TM,Bot->Top,36596,0.0989611809732094,,,0.00373290330415859
Tax data,39,TM,Top->Bot,36596,0.111308385686971,,,0.00358809075408937
Tax data,39,TM,Top->Top,36596,0.379541108986616,,,0.00497289170081222
Tax data,40,IGE,IGE/RRC,30596,0.523008405083395,0.012445004535059,30590,0.0162552815778315
Tax data,40,RRC,IGE/RRC,30651,0.289851838504065,0.00546720455309615,30645,0.00572125026757865
Tax data,40,TM,Bot->Bot,30651,0.309776399543006,,,0.00537742969270095
Tax data,40,TM,Bot->Top,30651,0.0974375714052554,,,0.00413080955287683
Tax data,40,TM,Top->Bot,30651,0.112850619699935,,,0.00398575796783688
Tax data,40,TM,Top->Top,30651,0.382420091324201,,,0.00542774231307938
