dep,pop_dep,unemp_dep,foreign_dep,single_dep,highschool_dep,density_dep,lmean_wage_dep,gini_dep,theil_dep,sharetop1_dep,museums_dep,cinemas_dep,higher_edu_dep,dist_edu_dep,participation_dep,nb_crime_dep,pct_crimes_dep,amenities_dep
14,618478,0.0699276587707701,0.00672022348037299,0.0665967677790231,0.212452575594284,-0.890467681966113,9.38923997770647,0.521030667403011,0.875737309686288,0.0650576658517602,23,24,3.61091791264422,10.7192394006869,80.9326704506474,31998,0.0517366826305867,7.59930021763102e-05
15,158723,0.0575131207105369,0.00549858700040371,0.0666227130377452,0.157017092918648,-2.2552728314244,9.32053650582593,0.499806847602088,0.73090076121745,0.0735467534886987,5,5,1.79175946922806,19.8210552935018,81.4096544699273,3443,0.0216918783037115,6.30028414281484e-05
16,341993,0.0646847968893581,0.0115509922006121,0.0576606771560686,0.170164268238941,-1.5164334942555,9.43197494750519,0.495623762807327,0.782143748172763,0.0663064118794142,6,11,2.484906649788,16.1011728410488,79.9576484269416,16122,0.0471413157579249,4.97086197670713e-05
17,527146,0.0744763630026191,0.00721174498209337,0.0583297352117202,0.170330857794019,-1.20256785474217,9.33584565053238,0.514247998590008,0.78562764098632,0.0601113349288533,19,22,2.63905732961526,19.7926872339192,78.9549367139612,32222,0.0611253808242878,7.77773140647942e-05
18,321559,0.0584210568706256,0.0213637352104962,0.0541055596984009,0.167526188557615,-1.75192887267135,9.4197526581279,0.482556833735998,0.74863577090537,0.0551811896905742,9,4,2.77258872223978,20.0739431686125,79.4917593215306,13355,0.041532036111569,4.04280396443577e-05
19,237908,0.0521553626599971,0.0196672901910507,0.0605105169956377,0.175569158525848,-1.82297323092482,9.37014475015698,0.496184171837058,0.792951761184418,0.055177187995777,5,9,2.484906649788,12.6326280318984,85.8064969157475,8700,0.0365687576710325,5.88462767120063e-05
20,250371,0.0751376344306497,0.0301924319004316,0.0835894283958205,0.20490360607425,-2.22347930545253,9.5256464069551,0.449326332230839,0.561101540170891,0.0600190466602452,10,13,2.56494935746154,17.0580313289074,66.9808438907619,14983,0.0598431927020302,9.18636743073279e-05
21,493866,0.0569410311161248,0.0227361239810376,0.0638975146638174,0.254413902188783,-1.53307052186721,9.41083697795824,0.519311440756837,0.851711346873272,0.0624677123608738,21,12,3.3322045101752,16.7662587598258,80.2870792908964,23886,0.048365346065532,6.68197446270851e-05
22,538395,0.0595843687570043,0.00305510890220728,0.0614067473582326,0.18709947195939,-1.19384380983337,9.3445019294184,0.52619429933975,0.867310280426613,0.0612709601791111,3,19,3.04452243772342,17.6782491884754,83.526584517086,17013,0.0315994762209902,4.08621922566146e-05
23,131349,0.0545781203455466,0.00696306225796842,0.0652593393022538,0.139369049841329,-2.35371025675827,9.31178900945293,0.515890505212781,0.849617711529526,0.0614569137020675,2,5,1.09861228866811,22.3205479671879,79.1712743735882,2538,0.0193225681200466,5.32931350828708e-05
