dep,dep_lab,n,ige,lb,ub,coef,boot_se_ige,lb_boot,ub_boot
49,MAINE-ET-LOIRE,931,0.489233432942674,0.356374262334753,0.622092603550596,0.527499342222814,0.0845047338471484,0.323391132263599,0.655075733621749
50,MANCHE,566,0.559929918692066,0.412250145705268,0.707609691678864,0.527499342222814,0.112300349193203,0.339351928130433,0.780507909253699
51,MARNE,676,0.370989034540159,0.216633603388144,0.525344465692175,0.527499342222814,0.0764545711203745,0.22087125661721,0.521106812463108
52,HAUTE-MARNE,263,0.624489612953741,0.364887223533213,0.884092002374269,0.527499342222814,0.151651121747623,0.325874189225414,0.923105036682068
53,MAYENNE,329,0.665461126066381,0.455766493894549,0.875155758238212,0.527499342222814,0.197918656726763,0.27610661726182,1.05481563487094
54,MEURTHE-ET-MOSELLE,862,0.59055483105682,0.430984405233547,0.750125256880092,0.527499342222814,0.092948704915254,0.408121967111724,0.772987695001916
55,MEUSE,238,0.315492196194544,0.0573494167709479,0.57363497561814,0.527499342222814,0.136101399736901,0.0473633399120729,0.583621052477015
56,MORBIHAN,778,0.446436721169116,0.306384824620077,0.586488617718155,0.527499342222814,0.090398936082857,0.268981283878682,0.623892158459551
57,MOSELLE,1274,0.517216587299194,0.388694373684209,0.64573880091418,0.527499342222814,0.0629435550942281,0.393731987078962,0.640701187519425
58,NIEVRE,251,0.31269394759452,0.0262936934578047,0.599094201731234,0.527499342222814,0.145785067782295,0.0255648818458419,0.599823013343198
59,NORD,3668,0.633862405549265,0.554883322372917,0.712841488725613,0.527499342222814,0.0446875967692245,0.546247398562653,0.721477412535877
60,OISE,1008,0.416287577973251,0.285643682480275,0.546931473466228,0.527499342222814,0.0733232101290529,0.272403617100649,0.560171538845853
61,ORNE,357,0.647332851559661,0.421198901209474,0.873466801909848,0.527499342222814,0.116401964562053,0.418408728855515,0.876256974263807
62,PAS-DE-CALAIS,2145,0.704127280320076,0.595105766323087,0.813148794317066,0.527499342222814,0.0636155363819941,0.579372659524767,0.828881901115385
63,PUY-DE-DOME,664,0.414427663697096,0.232800291032231,0.596055036361961,0.527499342222814,0.0868446577736909,0.243903495050261,0.584951832343931
64,PYRENEES-ATLANTIQUES,571,0.494174128015173,0.29345576751878,0.694892488511566,0.527499342222814,0.132477563908214,0.233969392608117,0.754378863422229
65,HAUTES-PYRENEES,209,0.480905305817591,0.154621581633392,0.807189030001791,0.527499342222814,0.25042609623198,-0.0128073367766022,0.974617948411784
66,PYRENEES-ORIENTALES,356,0.746301788666659,0.435834342418251,1.05676923491507,0.527499342222814,0.182801043586327,0.386789188784303,1.10581438854902
67,BAS-RHIN,1033,0.54079080074804,0.419540471801916,0.662041129694164,0.527499342222814,0.0754186286563806,0.39279927048943,0.68878233100665
68,HAUT-RHIN,792,0.528817990892959,0.37800793844434,0.679628043341578,0.527499342222814,0.100860543500562,0.330831629902577,0.726804351883341
69,RHONE,1583,0.462762385076872,0.37634899970971,0.549175770444034,0.527499342222814,0.0517392850279965,0.361277557212217,0.564247212941527
70,HAUTE-SAONE,273,0.877580370407649,0.600602498236367,1.15455824257893,0.527499342222814,0.247856124631332,0.389612060119954,1.36554868069534
71,SAONE-ET-LOIRE,661,0.685210875904374,0.525740558404619,0.844681193404128,0.527499342222814,0.104269284327101,0.480470806276617,0.889950945532131
72,SARTHE,635,0.573201562088666,0.426313416622681,0.720089707554652,0.527499342222814,0.0857923335200038,0.404729552214813,0.741673571962519
73,SAVOIE,430,0.453939424053391,0.279258542507939,0.628620305598843,0.527499342222814,0.094384181408279,0.268425228191665,0.639453619915117
74,HAUTE-SAVOIE,629,0.398770269704326,0.235412323561128,0.562128215847525,0.527499342222814,0.0958833760905653,0.210478839141852,0.5870617002668
75,PARIS,1352,0.514811165638048,0.413518386125053,0.616103945151043,0.527499342222814,0.0546236600173012,0.407654687879898,0.621967643396198
76,SEINE-MARITIME,1547,0.542952987374408,0.434912725903494,0.650993248845322,0.527499342222814,0.0549652276862117,0.435138659282822,0.650767315465994
77,SEINE-ET-MARNE,1529,0.397166547479642,0.297313743661708,0.497019351297577,0.527499342222814,0.0478782735718753,0.303252416343165,0.491080678616119
78,YVELINES,1645,0.467292828808531,0.382394586992087,0.552191070624975,0.527499342222814,0.0519385108100739,0.365420171643525,0.569165485973537
79,DEUX-SEVRES,376,0.354938100781964,0.181499201066278,0.52837700049765,0.527499342222814,0.107178541313908,0.144190021534428,0.5656861800295
80,SOMME,737,0.451264143541078,0.293871384881549,0.608656902200607,0.527499342222814,0.0753422054466412,0.303352567237819,0.599175719844337
81,TARN,354,0.535124611186232,0.319588285432742,0.750660936939721,0.527499342222814,0.131923395492406,0.275667408937695,0.794581813434769
82,TARN-ET-GARONNE,202,0.592561051881263,0.214290929581584,0.970831174180941,0.527499342222814,0.226257774406036,0.146404200962188,1.03871790280034
83,VAR,773,0.594981800928301,0.444762031452861,0.745201570403742,0.527499342222814,0.0828276848163647,0.432387277526602,0.75757632433
84,VAUCLUSE,468,0.499777302732737,0.320309087440695,0.679245518024779,0.527499342222814,0.124592255403247,0.254945083703659,0.744609521761815
85,VENDEE,627,0.365153634947091,0.21300170310304,0.517305566791142,0.527499342222814,0.0949337141136866,0.178725953788064,0.551581316106119
86,VIENNE,464,0.514612510169983,0.334588437090103,0.694636583249863,0.527499342222814,0.120164031209149,0.278476728032131,0.750748292307836
87,HAUTE-VIENNE,357,0.556850779561071,0.388077956765554,0.725623602356588,0.527499342222814,0.0991265573336304,0.361901662854485,0.751799896267657
88,VOSGES,504,0.462045911921112,0.243671917186007,0.680419906656218,0.527499342222814,0.0988315536488959,0.267871474966023,0.656220348876201
89,YONNE,388,0.323176302947142,0.140949640751802,0.505402965142482,0.527499342222814,0.0915665400695609,0.143144695713419,0.503207910180865
91,ESSONNE,1302,0.466213860574436,0.357904413422557,0.574523307726314,0.527499342222814,0.0588422804160788,0.350777635041816,0.581650086107056
92,HAUTS-DE-SEINE,1248,0.504034342664004,0.407160683856706,0.600908001471302,0.527499342222814,0.0541884992224359,0.397723567226405,0.610345118101603
93,SEINE-SAINT-DENIS,1495,0.447238600040428,0.326912193662982,0.567565006417875,0.527499342222814,0.0643181141671746,0.321075134301127,0.573402065779729
94,VAL-DE-MARNE,1188,0.408818208228792,0.29597517228716,0.521661244170424,0.527499342222814,0.0594293444755152,0.292219841808916,0.525416574648668
95,VAL-D'OISE,1366,0.486268566232529,0.382272258440134,0.590264874024923,0.527499342222814,0.0618219178061433,0.364992219237359,0.607544913227699
