nobs,parent_var,estimate,group,n,coef,se,df,boot_se
3,father,IGE,IGE/RRC,57290,0.555459945986452,0.0104846438852918,57279,0.052942969715438
3,father,RRC,IGE/RRC,57710,0.26454336796391,0.00401476229696455,57699,0.0156881361813434
3,father,TM,Bot->Bot,57710,0.291991679667187,,,0.0121643756569658
3,father,TM,Bot->Top,57710,0.110591090310279,,,0.0126211429456467
3,father,TM,Top->Bot,57710,0.120464189832857,,,0.00757043090470115
3,father,TM,Top->Top,57710,0.361652377240842,,,0.0123583288829527
4,family,IGE,IGE/RRC,63968,0.68166247713238,0.0107968891537354,63957,0.0463127580046703
4,family,RRC,IGE/RRC,64009,0.296770842535153,0.0037748167174975,63998,0.0103494624426523
4,family,TM,Bot->Bot,64009,0.314942169427946,,,0.00833631120092541
4,family,TM,Bot->Top,64009,0.0976867771178493,,,0.00828365022889477
4,family,TM,Top->Bot,64009,0.11433033971105,,,0.00476342296898492
4,family,TM,Top->Top,64009,0.382506833268255,,,0.007457857100225
4,father,IGE,IGE/RRC,57290,0.55052668994781,0.0103679235556295,57279,0.0508400403901774
4,father,RRC,IGE/RRC,57710,0.26269776054154,0.00401686720777337,57699,0.0154654453930896
4,father,TM,Bot->Bot,57710,0.287918183394002,,,0.0116834176710187
4,father,TM,Bot->Top,57710,0.115531287918183,,,0.0126529627464264
4,father,TM,Top->Bot,57710,0.116816764807759,,,0.00705518496786092
4,father,TM,Top->Top,57710,0.368288881191548,,,0.0114815124700467
5,family,IGE,IGE/RRC,63968,0.682943819612946,0.010813224399786,63957,0.0444258835510115
5,family,RRC,IGE/RRC,64009,0.296123721349235,0.00377561538160235,63998,0.0103101978563238
5,family,TM,Bot->Bot,64009,0.315098468271335,,,0.00825896696642028
5,family,TM,Bot->Top,64009,0.0989371678649578,,,0.00835322887710594
5,family,TM,Top->Bot,64009,0.114408434205389,,,0.00488565082743316
5,family,TM,Top->Top,64009,0.382975400234284,,,0.007704181810238
5,father,IGE,IGE/RRC,57290,0.554211886235828,0.0104362809718142,57279,0.0515131603555358
5,father,RRC,IGE/RRC,57710,0.262697403866079,0.00401686178004888,57699,0.0152902431494187
5,father,TM,Bot->Bot,57710,0.288004853527474,,,0.0116227919427017
5,father,TM,Bot->Top,57710,0.115964638585543,,,0.0126333123136166
5,father,TM,Top->Bot,57710,0.118299125313934,,,0.00712162395988336
5,father,TM,Top->Top,57710,0.366502121763229,,,0.0116178469477518
6,family,IGE,IGE/RRC,63968,0.691437927529848,0.0109101820494654,63957,0.0433854999956056
6,family,RRC,IGE/RRC,64009,0.297588375755483,0.00377380841319876,63998,0.0100260753391274
6,family,TM,Bot->Bot,64009,0.315723663644889,,,0.00825750634065096
6,family,TM,Bot->Top,64009,0.0965926852141294,,,0.00810564089856174
6,family,TM,Top->Bot,64009,0.113393205778993,,,0.00431502901340746
6,family,TM,Top->Top,64009,0.384303006638032,,,0.00646339403356995
6,father,IGE,IGE/RRC,57290,0.549512793284065,0.0102900204828633,57279,0.0496239393129545
6,father,RRC,IGE/RRC,57710,0.264163277882942,0.00401520572528508,57699,0.0146958061635973
6,father,TM,Bot->Bot,57710,0.290171606864275,,,0.010958919145649
6,father,TM,Bot->Top,57710,0.115531287918183,,,0.0122065223284869
6,father,TM,Top->Bot,57710,0.114575214341387,,,0.0066211061134111
6,father,TM,Top->Top,57710,0.368840391443665,,,0.0106276785412703
7,family,IGE,IGE/RRC,63968,0.691584452036875,0.0109120664360998,63957,0.0422401090873009
7,family,RRC,IGE/RRC,64009,0.297094599092144,0.00377441642908099,63998,0.0100221307572959
7,family,TM,Bot->Bot,64009,0.314395123476086,,,0.00810604089751743
7,family,TM,Bot->Top,64009,0.0976867771178493,,,0.00816408727677498
7,family,TM,Top->Bot,64009,0.113861772745021,,,0.00440986656765117
7,family,TM,Top->Top,64009,0.384068723155018,,,0.00675295501125905
7,father,IGE,IGE/RRC,57290,0.552611434474011,0.0103521174417367,57279,0.0501653291163001
7,father,RRC,IGE/RRC,57710,0.263935812322502,0.00401546613586747,57699,0.0146806435762612
7,father,TM,Bot->Bot,57710,0.288611544461778,,,0.0110065352502574
7,father,TM,Bot->Top,57710,0.116137978852487,,,0.012232765752403
7,father,TM,Top->Bot,57710,0.114921624664415,,,0.00676798688129697
7,father,TM,Top->Top,57710,0.36814757079761,,,0.0109264381390906
8,family,IGE,IGE/RRC,63968,0.700332315876158,0.0110187319616637,63957,0.0399229143781318
8,family,RRC,IGE/RRC,64009,0.297748710158521,0.00377361568824236,63998,0.00990115487402631
8,family,TM,Bot->Bot,64009,0.315411065958112,,,0.00822892569203834
8,family,TM,Bot->Top,64009,0.0977649265395436,,,0.00814190909865268
8,family,TM,Top->Bot,64009,0.113627489262007,,,0.00393922942663577
8,family,TM,Top->Top,64009,0.38438110113237,,,0.00562116446949327
8,father,IGE,IGE/RRC,57290,0.552347208005941,0.0102680322890456,57279,0.0489786199079065
8,father,RRC,IGE/RRC,57710,0.265073370706805,0.00401415144066293,57699,0.0143280371192448
8,father,TM,Bot->Bot,57710,0.291644999133299,,,0.0106148990956758
8,father,TM,Bot->Top,57710,0.116051308719015,,,0.0121209222808383
8,father,TM,Top->Bot,57710,0.114835022083658,,,0.0058574933746593
8,father,TM,Top->Top,57710,0.370485840478046,,,0.0094094750103122
9,family,IGE,IGE/RRC,63968,0.699707269997162,0.0110053243144698,63957,0.0398463860979853
9,family,RRC,IGE/RRC,64009,0.297519507406845,0.00377389683010459,63998,0.00989320701867991
9,family,TM,Bot->Bot,64009,0.315020318849641,,,0.00811002255346529
9,family,TM,Bot->Top,64009,0.0985464207564864,,,0.00820512099790131
9,family,TM,Top->Bot,64009,0.113705583756345,,,0.00402280176384159
9,family,TM,Top->Top,64009,0.384537290121046,,,0.00582495349968226
9,father,IGE,IGE/RRC,57290,0.554860863959003,0.0103211744125572,57279,0.0493340310883893
9,father,RRC,IGE/RRC,57710,0.264941706788764,0.00401431151260182,57699,0.0143467353920338
9,father,TM,Bot->Bot,57710,0.290518287398163,,,0.0106800796577516
9,father,TM,Bot->Top,57710,0.116051308719015,,,0.0121917040373094
9,father,TM,Top->Bot,57710,0.115268034987443,,,0.00612407054129499
9,father,TM,Top->Top,57710,0.369360006928206,,,0.0098654285092052
10,family,IGE,IGE/RRC,63968,0.703550811853943,0.0110709380477453,63957,0.0389238462706611
10,family,RRC,IGE/RRC,64009,0.297690988358357,0.00377368715487438,63998,0.0103974118534039
10,family,TM,Bot->Bot,64009,0.313535479837449,,,0.00871826718517986
10,family,TM,Bot->Top,64009,0.0974523288527665,,,0.00842415698765297
10,family,TM,Top->Bot,64009,0.112377977352597,,,0.00387820236036754
10,family,TM,Top->Top,64009,0.385005857087075,,,0.0052388063994716
10,father,IGE,IGE/RRC,57290,0.559708774595681,0.0103589138863328,57279,0.0479968557580697
10,father,RRC,IGE/RRC,57710,0.267760430977703,0.00401107576188361,57699,0.0152889024667495
10,father,TM,Bot->Bot,57710,0.292511700468019,,,0.0117619436128573
10,father,TM,Bot->Top,57710,0.112584503380135,,,0.0131861846967009
10,father,TM,Top->Bot,57710,0.115527842729713,,,0.00518869193686495
10,father,TM,Top->Top,57710,0.371611674027886,,,0.00798832555086914
11,family,IGE,IGE/RRC,63968,0.703691987843754,0.0110612596111557,63957,0.0389566895718884
11,family,RRC,IGE/RRC,64009,0.297745240899956,0.00377361709299628,63998,0.0103085792415429
11,family,TM,Bot->Bot,64009,0.314082525789309,,,0.00861779032159072
11,family,TM,Bot->Top,64009,0.098155673648015,,,0.00844329842324827
11,family,TM,Top->Bot,64009,0.112143693869582,,,0.00394508181753929
11,family,TM,Top->Top,64009,0.385474424053104,,,0.00533408824662582
11,father,IGE,IGE/RRC,57290,0.562395841751733,0.0104057140336046,57279,0.0481856375771886
11,father,RRC,IGE/RRC,57710,0.267770955646925,0.00401104992633042,57699,0.0151634727151571
11,father,TM,Bot->Bot,57710,0.292078349800659,,,0.0117195266690211
11,father,TM,Bot->Top,57710,0.112584503380135,,,0.0131028273141072
11,father,TM,Top->Bot,57710,0.11561444531047,,,0.00545523955247354
11,father,TM,Top->Top,57710,0.371958084350914,,,0.00848098052793112
