n,parents_age,child_age,coef,se,df
6682,52,44,0.258207625631572,0.0118202391862084,6680
6682,54,44,0.254680354430264,0.0118316895253469,6680
6682,55,44,0.257498184150583,0.0118225557449879,6680
6686,48,44,0.254277755184535,0.011829444569809,6684
6687,44,44,0.251281886693853,0.0118381215934922,6685
6687,47,44,0.255759731104701,0.0118237679626561,6685
6687,50,44,0.251316524929175,0.0118380116005842,6685
12049,25,30,0.108115869722918,0.00905789992676397,12046
12051,27,30,0.158469426035618,0.00899543922795613,12048
12052,26,30,0.153930914657775,0.00900153377639985,12049
12073,30,30,0.18312179004256,0.0089483619060935,12070
12074,31,30,0.200485330897713,0.00891711066485769,12071
12076,32,30,0.19677115718146,0.00892315812726434,12073
12080,49,30,0.23950275711641,0.0088346802734191,12077
12082,28,30,0.17473632817537,0.0089588115889349,12079
12084,33,30,0.221827717176492,0.00887136080707589,12081
12085,29,30,0.189382101068103,0.00893298859977095,12082
12085,34,30,0.220163886909318,0.00887439400341444,12082
12087,59,30,0.229734733491011,0.00885362560189517,12084
12089,58,30,0.231645876146314,0.00884875014508389,12086
12090,51,30,0.236710789105805,0.00883723777348787,12087
12090,60,30,0.225478809790297,0.00886151400953764,12087
12091,35,30,0.226660834730492,0.00885871451036568,12088
12091,36,30,0.233630828710373,0.00884366247556551,12088
12091,37,30,0.239955079430827,0.00882969214615545,12088
12091,38,30,0.239151494945381,0.00883150575459696,12088
12091,39,30,0.239172171640963,0.00883144549397493,12088
12091,41,30,0.240169844294219,0.00882921931057547,12088
12091,43,30,0.237950225363144,0.00883422591118925,12088
12091,45,30,0.240308304074104,0.00882890763828545,12088
12091,56,30,0.238518086602757,0.00883292923603006,12088
12091,57,30,0.238818198930428,0.00883225184754315,12088
12092,40,30,0.239063744540319,0.00883125705203318,12089
12092,42,30,0.240241505879094,0.00882863517842244,12089
12092,44,30,0.23680964621938,0.0088363015877592,12089
12092,46,30,0.241489544651257,0.0088258405028524,12089
12092,47,30,0.238213295577874,0.00883318011874514,12089
12092,48,30,0.237686719947522,0.00883428559988499,12089
12092,50,30,0.237531866143142,0.00883469793954066,12089
12092,52,30,0.240436526100368,0.00882819601033237,12089
12092,53,30,0.235564097223474,0.00883905510627556,12089
12092,54,30,0.234728550062077,0.00884090477486861,12089
12092,55,30,0.239128550784268,0.00883113421802749,12089
12692,25,43,0.109250482314596,0.00882424885655152,12689
12743,27,43,0.15439595283183,0.00875332523635448,12740
12746,26,43,0.139513874356833,0.00877187006660148,12743
12887,30,43,0.179251177290743,0.0086672671147448,12884
12892,28,43,0.172474502339032,0.00867620287907034,12889
12915,31,43,0.205810035375074,0.008611999556834,12912
12939,32,43,0.203064436701672,0.00860903110877519,12936
12945,33,43,0.234159341720279,0.00854575384399137,12942
12953,29,43,0.189214811388841,0.00862862465331422,12950
12968,34,43,0.235783592076295,0.00853464844402232,12965
12987,59,43,0.257198976884655,0.00848068614109747,12984
12995,60,43,0.244838168400387,0.00850610651041071,12992
13011,35,43,0.245218128464635,0.00850004181459689,13008
13011,36,43,0.250413921937164,0.00848838855342682,13008
13012,38,43,0.261012688265855,0.00846343352655658,13009
13013,53,43,0.264849655385981,0.00845401106184826,13010
13017,49,43,0.265868153606465,0.00845023104029741,13014
13022,58,43,0.257353331673484,0.00846883525338661,13019
13026,56,43,0.262002880650772,0.00845657840880571,13023
13026,57,43,0.259872003220487,0.00846159309949305,13023
13027,37,43,0.257109117859275,0.00846775241382621,13024
13027,39,43,0.264484548242054,0.00845032248816968,13024
13027,41,43,0.265539669062706,0.00844777388871717,13024
13027,43,43,0.264275437986256,0.00845079048072882,13024
13027,45,43,0.267994240852945,0.00844182790511223,13024
13029,40,43,0.26579662995266,0.00844649569721751,13026
13029,42,43,0.265237568858833,0.00844784976748267,13026
13029,46,43,0.268671259592724,0.008439515732833,13026
13029,51,43,0.260837115562502,0.00845830999191616,13026
13029,52,43,0.266185041640676,0.00844556164989927,13026
13029,54,43,0.263369612360389,0.00845233512728908,13026
13029,55,43,0.264324424747677,0.00845003747948767,13026
13033,48,43,0.26482899237217,0.00844752013757539,13030
13034,44,43,0.259087457133035,0.00846079276498789,13031
13034,47,43,0.263398968522032,0.00845064656551742,13031
13034,50,43,0.26206412291684,0.0084538106489329,13031
18167,25,31,0.111353519470328,0.00737392312246209,18163
18173,27,31,0.164677567879483,0.00731745631120035,18169
18175,26,31,0.158194003410864,0.00732493700363094,18171
18211,30,31,0.191584856238758,0.00727368227944095,18207
18218,31,31,0.213374822848539,0.00723889030490445,18214
18220,32,31,0.208454262707362,0.00724634748201947,18216
18223,28,31,0.183678836047289,0.00728245031586815,18219
18228,49,31,0.258909466742669,0.00715489006400641,18224
18231,33,31,0.237630016757821,0.0071946496452639,18227
18232,29,31,0.198668992606675,0.00725902308427673,18228
18234,34,31,0.233826497660449,0.00720095914572033,18230
18240,51,31,0.257354018240611,0.00715566469185306,18236
18240,58,31,0.249383180991689,0.00717111157092371,18236
18242,59,31,0.249390302391022,0.00717067812340963,18238
18242,60,31,0.24275603452251,0.00718323569884296,18238
18243,36,31,0.24818733108507,0.00717277666137117,18239
18244,35,31,0.242419607729949,0.00718340199195601,18240
18245,38,31,0.2566787136346,0.00715600262883174,18241
18246,37,31,0.255220201900064,0.00715867427363743,18242
18246,39,31,0.256685518751087,0.00715582184245206,18242
18246,41,31,0.257425970722384,0.00715432779555791,18242
18246,43,31,0.255333430195351,0.00715842825324509,18242
18246,44,31,0.254283907931186,0.00716050056251504,18242
18246,45,31,0.257674824634492,0.00715385230387645,18242
