dep,dep_lab,n,rrc,lb,ub,coef,boot_se_rrc,lb_boot,ub_boot
62,PAS-DE-CALAIS,2145,0.387390926774418,0.346498149945227,0.42828370360361,0.30329699232333,0.0212777919789727,0.345663653522195,0.429118200026641
63,PUY-DE-DOME,664,0.262149615625929,0.185755854473677,0.338543376778182,0.30329699232333,0.0387418752084461,0.186077854494053,0.338221376757805
64,PYRENEES-ATLANTIQUES,571,0.275138237477787,0.193355805576818,0.356920669378756,0.30329699232333,0.0438554587239254,0.188999893015774,0.3612765819398
65,HAUTES-PYRENEES,209,0.206834410322574,0.0797482435429115,0.333920577102237,0.30329699232333,0.0654836442195423,0.0777340349192876,0.33593478572586
66,PYRENEES-ORIENTALES,356,0.287856643798722,0.185900017925137,0.389813269672307,0.30329699232333,0.0524640100740191,0.184676310186143,0.391036977411301
67,BAS-RHIN,1033,0.30545099234138,0.248062545398666,0.362839439284094,0.30329699232333,0.0305159526366496,0.245570527680943,0.365331457001817
68,HAUT-RHIN,792,0.288046593981833,0.217903479455419,0.358189708508247,0.30329699232333,0.0353183116445705,0.21871775877886,0.357375429184806
69,RHONE,1583,0.26638081941479,0.221503851951265,0.311257786878316,0.30329699232333,0.0226225367539691,0.222007491737454,0.310754147092126
70,HAUTE-SAONE,273,0.283783559321552,0.166555917804498,0.401011200838607,0.30329699232333,0.062424607279211,0.160884719602669,0.406682399040435
71,SAONE-ET-LOIRE,661,0.38946528700158,0.315076817667346,0.463853756335815,0.30329699232333,0.036385347795263,0.318020098813057,0.460910475190103
72,SARTHE,635,0.358716225282965,0.286848692290949,0.430583758274981,0.30329699232333,0.0377117843173515,0.284660889110158,0.432771561455772
73,SAVOIE,430,0.26144992551278,0.169583585046915,0.353316265978644,0.30329699232333,0.0485594904812864,0.166005173079924,0.356894677945636
74,HAUTE-SAVOIE,629,0.190272845478387,0.104766960638899,0.275778730317876,0.30329699232333,0.0461326552637167,0.0996796268265315,0.280866064130243
75,PARIS,1352,0.283832626055626,0.234804081865698,0.332861170245554,0.30329699232333,0.0251576509226465,0.234480289345013,0.333184962766239
76,SEINE-MARITIME,1547,0.34091239576182,0.292619773493086,0.389205018030554,0.30329699232333,0.0239700127402411,0.293895200951143,0.387929590572497
77,SEINE-ET-MARNE,1529,0.240664559851728,0.19024580187369,0.291083317829767,0.30329699232333,0.0260169657863694,0.189631793748198,0.291697325955258
78,YVELINES,1645,0.25120632444266,0.205437116564239,0.296975532321081,0.30329699232333,0.0236480037940088,0.204822919420648,0.297589729464672
79,DEUX-SEVRES,376,0.27087930535071,0.176056740247298,0.365701870454122,0.30329699232333,0.0512460662849502,0.170112772179543,0.371645838521877
80,SOMME,737,0.303552823123865,0.234097775858395,0.373007870389334,0.30329699232333,0.0356955053097647,0.233475521483845,0.373630124763885
81,TARN,354,0.35841715405797,0.257200654276654,0.459633653839287,0.30329699232333,0.0511662038489111,0.257787238865399,0.459047069250541
82,TARN-ET-GARONNE,202,0.233744194542337,0.0908850224865381,0.376603366598136,0.30329699232333,0.0757452285443451,0.0843824644174556,0.383105924667218
83,VAR,773,0.312678758021204,0.24499673056623,0.380360785476178,0.30329699232333,0.0348550237925902,0.244256756437123,0.381100759605285
84,VAUCLUSE,468,0.268440860280255,0.178967017304018,0.357914703256492,0.30329699232333,0.0472803762667469,0.175531719174718,0.361350001385792
85,VENDEE,627,0.193379843871946,0.119137334301778,0.267622353442114,0.30329699232333,0.0399248172550166,0.114976811071214,0.271782876672678
86,VIENNE,464,0.331981495146708,0.247496084908733,0.416466905384684,0.30329699232333,0.0451351063550191,0.243285955110547,0.420677035182869
87,HAUTE-VIENNE,357,0.358365498709291,0.261802905478323,0.454928091940259,0.30329699232333,0.0477948449314052,0.264368863971482,0.4523621334471
